GEOID,mean_price,median_price,max_price,min_price,mean_value,median_value,max_value,min_value
080839411001,52698.7,0,260000,0,29206,32180,45960,6150
080130121042,759750,704500,1502000,351000,77801,74386.5,108000,63576
080050802003,197375,168750,390000,115000,21316.4,21186,26496,19289
080410055012,164505,155750,222000,133650,18090,17935,20110,17030
080310045063,133397.5,90000,330000,68500,13317,13505,16800,9150
080410047051,234818.8,245426.5,345000,42500,21682,21175,25000,20310
080690016011,290202.6,233715,660000,190896,22421.9,23781,23940,14378
081230008001,93000,0,415000,0,11870,10975,19000,9550
080350141121,127750,0,482500,0,29299,29575,33560,24350
080310068095,1412430,56250,9500000,0,47127,10590,377910,8250
080310007023,170228.2,132191,400000,27500,21756,20500,27460,15340
080050851002,420052.8,408374,524880,325848,37085,37757,41695,30722
080590110004,261645,225500,400000,164950,31697.5,32912.5,43727,20102
081010020003,44420,38000,100000,4700,5002.9,4788.5,7316,3103
080410037011,276380,162500,725000,70000,16004,18310,22430,4860
080010078023,172335,113500,650000,46000,15090,15205,16880,13080
080299647002,579900,348000,3300000,53000,19523.4,20857,30295,7134
080140308002,147030.7,169281.5,235361,0,24525,24470,28750,20810
080690005042,204130,203500,249900,151000,23258.2,23735,26122,20124
081230010055,106220.8,131204,289000,0,14874,14685,15720,14120
080590117111,186250,212500,240000,110000,25454.2,25533.5,27400,23175
080839693001,108200,138000,168000,0,10959,10680,13710,8170
080050842003,125920.2,129500,217000,79900,10923.9,11772.5,16754,5508
080010085053,167891.5,151832.5,290000,105900,17681,17190,20830,15780
080310014022,136274.1,125000,222000,59722,17072,17155,19580,14610
080010093272,250700,270000,365000,116500,21439,20830,26250,19190
080310050012,257665,260000,360000,124900,28396,29400,39060,13560
080010085055,170218,157450,362500,85000,17680,17550,18900,16720
080050076002,123190,117500,193000,78700,16346,16214.5,17654,15235
080310034011,1707331.4,1167500,5600000,519600,94729,93900,169050,58340
080310031021,1176500,520000,4000000,165000,18380,8910,63680,7600
081230020171,97000,0,600000,0,37840,34550,60780,29910
080590120381,213510,189950,385000,92000,21797.3,21704,23584,20496
080010093081,133005.7,125950,190257,95000,16879,16695,19020,15050
080050841003,191040,177450,378500,16500,22250.8,22572,24538,19714
080050846001,213017.7,196490,400000,118900,20836.7,20664,23170,19116
080130133071,209590,181250,355000,121900,19066.3,19342.5,21931,15646
080590120472,201651,202250,390000,118000,21166.2,21104,22848,19154
080350141302,347258.6,348019.5,738000,0,35411,35875,38350,30430
080590102082,200665,189650,344000,122500,24671.2,24656.5,28899,21189
080310030012,393985,405475,829900,99500,43184,38500,66730,21860
080050845001,151850,147425,199000,90000,21106,21391,23393,18432
080310030011,414040,258500,1400000,127000,36118,33465,67780,27470
080930001003,33800,18500,110000,0,22481,18350,48740,5310
080140310002,295840,385100,608000,0,34847,33180,51630,28820
080010088022,101277.6,108550,173000,4276,13794,13750,16050,9910
080050067081,475090,474000,750000,225000,42324.3,41353,50378,37577
080770017062,59000,37500,295000,0,12858,12135,23640,8840
080310157004,1947200,453500,15750000,250000,144485,37225,1110880,31190
080310083892,310419.1,324000,425000,180100,24088,24685,29990,18460
080310027022,473270,477300,615000,252000,46961,40315,110470,14680
081010009025,143515,149950,167000,74350,12064.4,11915.5,15100,9917
080690011075,215803.8,194819,365000,119000,21496.1,22111,22730,18943
080690019011,183940,179250,257400,125000,20062.2,17939,33134,13572
080370002001,1060500,697500,3500000,165000,79656,52360,384760,10050
081230010052,828447.6,65100,7733409,0,14445,14490,15100,13780
081230007031,87145,92000,154350,0,12736,13000,13680,11710
080010092061,167101.7,176158.5,290000,12800,21312,20410,28650,17380
081230020042,55660,54250,169900,0,5973,5780,10890,3880
080350144033,623500,232500,1975000,0,29028,29055,31180,27210
080690004011,183779,166445,320000,125000,17953.9,19238,21319,13270
080859663001,273545.4,121844,1175000,0,8434,8420,10720,5660
080690013081,375090,389500,610000,130000,49621.7,49305.5,64807,31465
080519638004,729950,720850,1250000,390800,87159,80955,177730,14960
080010085062,134100,121750,255000,98000,14401,14645,15150,13400
080010093262,386878.6,437350,492481,161115,32302,34235,39860,22720
080970001002,1435500,0,13410000,0,187725,201010,547320,21610
081039512001,96690,30875,351000,21850,26607,25200,59710,10860
080050062001,168085,156625,330000,80000,18542.7,18345.5,21722,16380
081230014131,83802.3,85250,205000,0,9283,9060,14200,7560
081230005021,401150,77250,2200000,0,11488,10215,24590,7910
080759662002,94260,79250,182900,40000,7042,5630,16160,3020
080690007002,402101.5,332500,909000,140000,37980,37660,64202,21247
080690010082,154851.1,134500,252000,100541,13333.6,13471,13680,12665
080990003005,60480,44400,200000,0,10314.3,5444,54697,3999
081230019061,284200,52250,1500000,0,89037,30135,414060,7800
080870002002,121330,135700,292000,500,8051,7595,11980,4730
080770013011,113800,21500,350000,0,13755,12035,23540,9530
080770006023,86363,110215,194000,0,11707,10615,15910,10190
080839691001,167300,0,1550000,0,20417,10890,62700,2420
080590098311,3783508.7,1793806,16774800,120000,17564.2,18209.5,20895,14998
080590114022,5903025,1437500,32000000,250,10098.7,9909,12538,8712
080590117122,245590,227000,455000,123500,26956.2,26924.5,30221,23723
080679707042,353840,278700,825000,45000,8893,7495,17960,2270
080050067121,658050,775250,1235000,20000,92751.1,76118.5,166349,63533
080050806001,103575,93950,200000,64000,12488.3,12945.5,14270,10058
080050855001,227730,228000,350000,140000,26719.7,27011,29966,23479
080050838003,155395,150450,275000,110000,16129.6,15869,18396,14090
080410037093,231193.7,238400,322000,167627,19331,20255,22240,16620
080410046011,101679.5,110997.5,187500,20000,12642,12295,15420,8550
080310003036,367040,332500,737500,98500,40104,40530,51500,26030
080050067071,179564,173500,405000,18250,26366.5,26168.5,29506,23429
080410044012,156673.3,157976,378000,4500,26722,26870,34320,14380
080130122031,449845,183325,1900000,82900,17752.4,17564.5,18986,17237
080130128002,316292.7,325000,485000,143227,32844.7,32849,34992,29311
080690016081,625297,315000,3450000,170000,93103.3,86249,139320,63720
080350141401,313900,352500,645000,0,41479,40545,49500,35900
080690011131,320267.5,326355,440000,71300,36025.1,37054.5,40550,30996
080310009041,107785,116900,160000,53000,14380,14190,15960,12880
080310003035,238673.2,232755,615000,77000,36825,33825,49620,28950
080310007022,192700,185000,445000,12500,332393,25785,2566850,14240
080299651003,124098,122000,200000,72500,8971.3,8850,14553,5351
080930002002,57550,65000,147000,0,27043,25110,45720,10650
080410010002,300490,272500,585000,114500,34341,32555,55810,20200
080459517022,366700,342500,668000,180000,24689,24065,32800,17290
081230014051,181786.3,184450,355000,0,19031,18350,22850,16800
080130121025,554669.2,522450,952000,215000,53637.2,53956.5,62964,46174
080410068021,261045,236856.5,351000,208690,23073,22945,26690,20100
080050872002,459090,395000,974000,237000,48068.6,46573,65182,34589
080050847002,218690,202750,355000,119500,20175.1,19861,23090,17050
080690011103,239050,237250,335000,174500,26804.2,27039.5,28375,24912
080310027013,737719.6,502500,3055000,1500,9565,10725,11530,7170
080310032023,451206,291500,1297060,128000,34127,29410,69640,29180
080590110002,179015,177500,292000,97950,24946.9,23924.5,31745,20766
080310031022,160840,128500,434000,39900,23186,23380,25250,18980
080310041036,284655.2,260650,594000,65000,32931,28775,62040,25070
080310041031,208520,179500,600000,55000,26775,26350,35760,21870
080590120221,269726.6,261033,409900,156500,29279.9,29741,34368,24969
080590120531,223150,231000,387000,112000,24104.5,24272.5,25785,22023
080050056321,548574.4,278500,2050000,134622,26826.5,26758.5,29909,24797
080350141303,192597.1,177450,470000,0,27767,27895,30270,26170
080350139041,106617.5,70500,267000,0,15569,15630,18610,12920
080010091041,406231,399950,443900,368010,14681,14600,24300,5410
080010086061,133942.8,127500,225000,80000,16823,15895,24790,13260
080010093211,2398417.4,117500,22500000,1000,18317,17915,19930,16900
080010080002,157910,176000,230000,80000,16235,15995,19220,14140
080050057001,162630,152900,305000,70000,24303,22978.5,33574,17424
080050807001,186837.5,167325,350000,110000,18137.6,19631,21679,12096
080050821001,189840,200000,290000,28500,22964.4,22878,27209,19498
080050842001,202186.9,224500,261900,136000,23030.7,23058,25142,21708
080350140071,2521801.8,0,19500000,0,36374,36300,39680,31360
080410017002,156550,114500,435000,63100,14208,13435,20180,7720
080310055034,196360,210800,350000,97500,22666,22375,24330,21660
080899683003,52820,0,182200,0,6061.8,3609,18039,1908
080130135051,171690,177500,205000,116500,16799.9,16819.5,18281,14890
080050870002,179088.1,169565,255000,147200,13852,13507,15041,12960
080410014002,138875,127500,235000,87000,14866,13975,20380,10370
080410020003,143019.9,132500,224999,87000,11141,11050,12600,9940
080410029002,83464,74500,140000,43500,9137,9090,10790,7900
080410054003,165303.2,161150,235000,129500,11656,12055,12430,9690
081010006001,109585.3,85951.5,222000,37950,7585.8,7107.5,15264,2977
081010009051,417430,81000,3350000,62900,7434,7015.5,9965,6173
081010018002,75080,83100,108600,23000,6038.7,5932,8252,3683
081010004003,72250.2,79000,129900,32002,5205.6,5040.5,6930,3547
080130121022,1063772.5,742500,2460000,250000,122477.9,94518,202601,66528
080590106031,131405,111000,265000,69950,22350.9,22210,29817,15669
080310046032,241122.2,230111,365000,129000,16624,16095,21070,15350
080050800001,200580,200500,254000,117500,21780.1,21665,25567,20203
080050064002,224000,235000,282500,171500,23720.4,23411,27720,20765
080050846002,189320,188450,318000,94900,19311.8,19177,21276,17316
080590102101,230160,229000,320000,114950,26375.1,25978,29364,23368
080590102132,234430,203700,455000,118000,23073.2,23368.5,27020,19418
080310043043,425344,351250,910000,200000,41386,34665,74630,24470
080310046012,182470,179975,330000,75000,16914,16555,20060,15620
080310014032,846300,722500,2058000,90000,16968,16825,22200,9230
080310040064,768890,627450,1600000,205000,95904,108405,133980,31120
080130125101,863767,765000,1707170,500,86170.4,80298,122321,62914
080410072022,448475,404000,915000,98500,40957,41120,62260,29680
