GEOID,mean_price,median_price,max_price,min_price,mean_value,median_value,max_value,min_value
260555515003,189900,169750,370000,80000,115240,94950,220300,73800
260770029042,306780,287500,485000,35900,190030,184200,243200,132200
261635407003,34348,24950,88500,1121,10210,10750,12900,600
261251573001,359468.3,389897.5,510000,80000,186808,185010,231700,147560
261251604001,107640.2,87000,268413,2659,87952,91985,98550,50410
261251367002,259475,92500,727000,52000,184280,168850,263400,131500
261251673004,175864.7,161000,432000,10000,45075,39020,82920,12880
261251688001,250596.6,240500,330000,120000,131087,129915,148350,113930
261251715002,76822,77550,158000,3177,35600,36100,40800,29700
261390205012,336022.5,254950,1000000,66000,143100,150000,331500,9000
261390252003,91690,85000,131500,57000,75020,67900,142500,25600
261390246002,292781.8,257875,542500,70000,183680,158650,255000,140100
261390218012,159556.6,156540,218000,111286,97130,96200,135500,72800
260250011001,54774.4,57000,83000,25000,61860,56350,107000,20900
261390218011,164800,166000,250000,75000,109180,105150,179800,59300
261390219022,154800.7,169666,244000,43000,131830,130200,221000,72300
261390258002,81168.6,86825,140000,25300,59730,60250,78600,32700
261390222035,159118.6,175000,233750,62511,72500,67600,95000,58400
261390230022,191990,145000,650000,25000,129670,111550,239800,74900
261390205041,176005.9,148950,319459,90000,32290,19300,99700,12500
261359702011,108725,100375,260000,11000,84370,73850,122300,63900
261251731001,118755,98950,260000,20000,100730,94710,156860,62620
261251816002,46091.9,46393.5,89000,3500,22957,23390,26930,18700
261251814001,114161.4,121000,156000,56000,65003,57875,129180,51460
261635248005,24513.5,13050,65000,4435,5710,5700,11100,200
261251813001,166837.5,204000,251125,70000,110634,110935,120760,99900
261251911002,267970,139900,700000,75200,247899,271425,391540,95390
261251933004,459564,203000,2964000,45000,108074,68145,201060,56290
261251964003,278170,301000,379800,82500,194957,224885,264420,33680
261251608001,276600,287500,345000,170000,99594,101375,119310,75610
261251960004,245267,265750,281000,172500,110544,113140,117870,101050
261251277004,150910,146750,235200,44000,73760,74100,90200,61900
261251810001,841765.7,286978.5,5454265,175000,110472,112890,122840,97480
261251961001,409422.6,541207.5,594685,60000,148010,132660,214480,117900
261251421002,61917.6,72500,98000,2500,20616,21235,27900,11620
261635809004,91310.4,79514.5,172500,16700,38510,40150,50700,26600
261251422003,25592.7,12894.5,90000,3750,17958,16555,25890,12600
261251316001,143571.2,159750,220625,16000,118352,117685,160310,79080
261251540002,178221.6,178750,299000,105000,114859,115675,144380,91090
261390249003,247350,200000,525000,87000,42500,41650,59900,21500
261251684001,727000,767500,1425000,90000,140231,136595,177480,118960
261653806003,84799.9,97500,150000,2350,44209.3,42000,65400,15393
260810018003,136227.5,129250,251250,25000,136180,132150,190500,79800
260810044003,164616.1,170205.5,231000,89250,98270,95600,120700,81600
260810046003,75488.1,70625,140231,5500,67590,66450,92400,50700
260810127022,110912.2,103711,200200,37500,92440,95650,109700,78700
261635314001,45526.9,41000,98847,1970,11530,11600,14500,8300
260810145014,181360,196700,236300,41000,117310,116850,137500,94900
260810010001,130424.8,131274,195000,72900,79820,84100,89600,58700
260810044001,299390,279000,472000,189900,159330,157350,205400,113000
260810127034,112960,115750,140100,79000,60960,60850,64400,57200
260810032005,39033.7,24025,112000,1500,33370,29950,48500,21600
260730004001,108046.3,80450,360000,9300,71700,68050,98400,53800
260730004004,114790,104000,360000,9900,63800,58500,86900,51600
260730001001,78010,88750,130000,22000,67230,64450,84100,54100
260270020003,64626.8,37000,243000,1600,46000,38250,127900,16200
260270021003,41696.2,27333,145000,2368,50090,41950,127900,31600
261450014002,42890.2,45295.5,69000,10000,17863.1,17692,27783,10629
260070009001,88169.6,41398,310000,10000,68250,65700,112900,26900
260339704003,61320,66950,105000,25000,51020,59950,95700,8400
261251811002,176248.4,147000,635000,47000,77255,72985,137100,61560
261251843002,165210,154900,257500,116000,89702,91330,110350,67440
260670316002,136040,179950,280000,3000,109320,104350,180600,72800
260250002001,29507.9,35000,57586,3000,78310,80250,118500,20900
260250010002,72558.8,73375,140000,2886,64440,58300,98700,20900
260490124012,79958.2,87000,160633,16350,73200,68400,133700,44800
260937424011,440070.3,342851.5,950000,140000,76770,62900,151600,58600
260937424021,204155.6,198450,290000,140000,112350,114750,123700,97200
261635462001,44590.5,25791,110527,7300,11350,11400,14000,8300
260937422011,114483.2,76500,303832,60000,172120,188800,241900,95300
260937444002,114352.4,102000,298524,35000,64060,63450,70700,54000
260937408002,263240,277500,357000,27900,170140,170550,210700,117500
260937435001,319430,322250,695000,79000,238452,238820,304840,174530
261112909002,3544180.2,381500,32000000,282500,203570,193800,242100,183600
261210004023,761155.3,137158,5686535,16000,1430,1000,3300,1000
261099601003,54491.4,52001.5,91426,13000,37080,34300,61300,18000
261210004021,98870.7,97051,195959,25000,5860,5100,15700,3100
261210004013,36342.6,34500,60204,11500,2300,2300,2300,2300
261030028002,257580,244875,299650,238850,135590,135900,149600,116700
260490114012,79250.1,76050.5,143000,19000,49910,45450,87500,30600
261030024002,54291.1,51400,150000,5500,44070,30675,104400,13400
261030029003,80094,62000,240000,3800,43750,32050,148900,9400
261030023002,34940.8,32250,76717,1000,62972.7,56275,112750,26650
260490129043,88173.6,82750,131000,38142,71330,63400,105700,56000
260490012002,72489,82500,115740,8000,18150,18650,26100,11300
260490014003,9298.2,7000,35635,1394,7820,5400,32900,2800
260490022005,13085.1,3850.5,75000,1000,7920,6700,14000,4000
260490030003,61995.4,51500,142454,10000,23580,20650,38900,15200
260490020001,13200,7250,39000,1500,4440,4400,6000,2400
260570003001,62609.2,59244,124907,11500,41740,44900,53100,23700
261251801002,147524.9,164500,215000,67000,102050,94435,155000,69490
260570006004,37824.8,37500,64448,13500,52420,53350,72500,26000
260450210021,101598.9,111000,140000,38000,77060.6,80370.5,114144,47079
260050324021,78985.5,55437.5,265000,20000,82400,85750,145500,12600
261450001002,6478.4,5569.5,16000,1189,8015.2,7869,16240,2971
261450103022,2020736.3,169625,18990000,24000,97260,94350,139500,44200
261450004001,192634.5,64500,650000,3000,7666.7,7831.5,13300,2247
261450124001,51708.4,47830.5,136959,8000,38720,35350,73200,17400
261450125004,49563.8,47875,90000,8148,52810,50500,105100,16400
261450107006,43406.4,50000,74600,10000,23780,22300,30200,20000
261450116002,49390,48975,119000,2050,40850,38250,55000,31300
261570009004,58952.9,69000,103000,12500,107130,90550,267700,58400
261251217003,142008.1,159581,223500,46000,103190,101730,119160,90520
261251313002,158330,162500,295000,40000,122889,107630,213820,81960
261251326003,217945,270500,405000,55000,208945,164210,432760,43310
261251240004,107745.7,106250,195000,2400,99356,105205,144540,42880
261251275003,305950,301500,560000,42500,201080,209100,273700,113800
260770022026,188538.5,142450,626485,72000,63690,62700,90800,44200
261251302002,144971.1,155000,205900,56000,78342,85495,105930,47120
261251321001,194785.5,208500,275000,104900,141587,143350,168780,109160
261251975002,174981.6,165758,268900,85000,80988,82525,116310,22780
261251975003,95786.7,96563.5,215000,2700,59130,57120,74230,45970
261476406001,221987.4,168000,425000,78416,111540,112000,179500,45600
260490013004,34343.8,40226.5,55000,2000,8150,8200,10400,5700
260770015043,378580,306250,1000000,45300,149970,142900,373100,44500
261251383022,406044.3,417745,436303,360721,188425,188245,196230,179450
260770015024,111675.6,109112,150000,73932,63170,63250,66900,59900
260770016041,207689.4,181000,344000,150000,159180,119300,453300,76400
261251331003,594823.4,587500,1150000,69500,109530,111555,122340,75130
261251347002,580233,220000,1918330,36000,77507,69040,115840,50550
261614003002,639500,513500,1250000,190000,381024,325370,660420,237960
261614003003,535815,421450,1605000,160000,374991,325370,660420,233810
261614022004,386500,195000,1800000,38000,250203,234730,472850,102380
261614560001,321444.5,367000,582500,35000,247700,262700,321800,136000
260992634004,66031.1,67950,95000,13500,27078,25880,38680,18220
261614123001,85301.7,82427.5,125000,29812,26650,26300,29500,24200
261614126001,83751.2,87250,170500,4000,54160,50600,77900,39300
261614134021,130611.7,138000,210500,42900,94980,108250,122800,41600
261614640001,254263,235500,457530,79000,135494,127000,221900,82100
261614003001,567332.1,427500,1800000,62000,381024,325370,660420,237960
261614034002,291119.8,280000,550000,188000,204736,188315,394850,79100
